način,ID,Kanal 1 Povprečje delovanja,Kanal 1 Odklon od povprečja delovanja,Column1,Kanal 1 Vrh
ustpripora,9436,2.33743243243243,1.47800584368152,0.632320243004177,14.0
ššš,9436,1.84709459459459,1.28519265887509,0.695791467657437,11.9
sss,9436,2.7247972972973,1.69121804236669,0.620676644110076,11.1
popek,9436,4.16255033557047,2.0430809422999,0.490824321051699,107.0
pas,9436,2.62860927152318,1.20977676417701,0.460234534391637,16.7
nosnos,4752,3.80194444444444,1.63961419753086,0.43125674809024,14.1
ustpripora,4752,5.12335616438356,1.89350159504597,0.369582268788803,30.0
ššš,4752,6.10904109589041,1.85988740851942,0.304448338016678,15.2
sss,4752,7.78958904109589,2.2159936198161,0.284481454429121,21.0
popek,4752,7.39205479452055,1.91331957215237,0.258834603549022,107.0
pas,4752,6.66409395973154,2.13509841899014,0.320388402668342,113.0
nosnos,6832,3.28369127516778,2.29698752308455,0.699513849080462,18.7
ustpripora,6832,3.51958041958042,2.16953494058389,0.616418630048672,19.4
ššš,6832,3.18678082191781,2.19456652279978,0.688646833728302,20.2
sss,6832,3.68513698630137,2.79473822480765,0.758381095518684,21.4
popek,6832,3.71705479452055,2.71938919121787,0.73159782180952,29.0
pas,6832,4.58131944444445,1.97468364197531,0.431029459072084,25.4
nosnos,8458,3.2077397260274,2.16414618127228,0.67466389611119,41.0
ustpripora,8458,3.66743243243244,2.1920288531775,0.597701223829673,31.0
ššš,8458,5.8098,3.03,0.521532582877207,47.0
sss,8458,3.32245033112583,1.23463093723959,0.371602526506765,37.0
popek,8458,3.08845637583893,1.50991576955993,0.488890107489307,16.39
pas,8458,3.3535761589404,1.43118898293935,0.426765015943919,16.0
